Package                      Version    Latest   Type
---------------------------- ---------- -------- -----
bcrypt                       4.0.1      4.1.3    wheel
boto3                        1.34.122   1.34.124 wheel
botocore                     1.34.122   1.34.124 wheel
certifi                      2023.11.17 2024.6.2 wheel
chromadb                     0.4.24     0.5.0    wheel
cohere                       4.57       5.5.7    wheel
docstring-parser             0.15       0.16     wheel
extract-msg                  0.47.0     0.48.5   wheel
fastapi                      0.109.2    0.111.0  wheel
google-ai-generativelanguage 0.4.0      0.6.5    wheel
google-api-python-client     2.132.0    2.133.0  wheel
google-cloud-storage         2.16.0     2.17.0   wheel
google-generativeai          0.3.2      0.6.0    wheel
google-resumable-media       2.7.0      2.7.1    wheel
grpcio-status                1.62.2     1.64.1   wheel
grpcio-tools                 1.62.2     1.64.1   wheel
gunicorn                     21.2.0     22.0.0   wheel
httpcore                     0.17.3     1.0.5    wheel
httpx                        0.24.1     0.27.0   wheel
huggingface-hub              0.20.3     0.23.3   wheel
importlib-metadata           6.11.0     7.1.0    wheel
jsonpointer                  2.4        3.0.0    wheel
langchain                    0.1.20     0.2.3    wheel
langchain-anthropic          0.1.13     0.1.15   wheel
langchain-community          0.0.38     0.2.4    wheel
langchain-core               0.1.52     0.2.5    wheel
langchain-experimental       0.0.58     0.0.60   wheel
langchain-google-genai       0.0.6      1.0.6    wheel
langchain-openai             0.0.6      0.1.8    wheel
langchain-text-splitters     0.0.2      0.2.1    wheel
langfuse                     2.35.2     2.36.1   wheel
langsmith                    0.1.75     0.1.76   wheel
lark                         1.1.8      1.1.9    wheel
llama-index                  0.9.48     0.10.44  wheel
lxml                         4.9.4      5.2.2    wheel
orjson                       3.9.15     3.10.4   wheel
packaging                    23.2       24.1     wheel
pandas                       2.2.0      2.2.2    wheel
pinecone-client              3.2.2      4.1.1    wheel
prompt_toolkit               3.0.46     3.0.47   wheel
protobuf                     4.25.3     5.27.1   wheel
pyarrow                      14.0.2     16.1.0   wheel
pydantic-settings            2.3.1      2.3.2    wheel
pyparsing                    2.4.7      3.1.2    wheel
python-dotenv                0.21.1     1.0.1    wheel
python-multipart             0.0.7      0.0.9    wheel
qianfan                      0.3.0      0.3.15   wheel
realtime                     1.0.0      1.0.5    wheel
red-black-tree-mod           1.20       1.22     sdist
setuptools                   65.5.0     70.0.0   wheel
sqlmodel                     0.0.14     0.0.19   wheel
starlette                    0.36.3     0.37.2   wheel
supabase                     2.5.0      2.5.1    wheel
tiktoken                     0.6.0      0.7.0    wheel
typer                        0.9.4      0.12.3   wheel
unstructured                 0.12.5     0.14.5   wheel
unstructured-client          0.22.0     0.23.3   wheel
urllib3                      1.26.18    2.2.1    wheel
uvicorn                      0.27.1     0.30.1   wheel
weaviate-client              3.26.2     4.6.4    wheel
websockets                   10.4       12.0     wheel
